"","KOPT-K1.DMSO.1","KOPT-K1.DMSO.2","KOPT-K1.DMSO.3","HPB-ALL.DMSO.1","HPB-ALL.DMSO.2","HPB-ALL.DMSO.3","WT.COLD.1","WT.COLD.2","WT.COLD.3","HPB-ALL.SAHM1.1","HPB-ALL.SAHM1.2","HPB-ALL.SAHM1.3"
"TBCEL",6.57231907914346,6.17821165378783,6.48012664637445,6.95106344563676,6.57396208201493,7.05657760597903,5.89610387511003,5.31255706485655,5.59413771168987,7.2276937223042,7.28861847829108,7.23578068999976
"EFEMP1",3.34026139454373,3.2106673355948,3.21155895140018,6.68947452776217,6.8712539455042,6.69064177038911,3.58004318211463,3.35890545542999,3.7645048108824,5.35553440487547,5.30066895133701,5.33268264016118
"NSUN6",5.84502494429369,5.83359622465935,5.75816224442875,6.62626177104288,5.94320467668795,6.11240656816091,5.38679341869121,4.62513274799348,5.23654232744165,6.81092329551197,6.87175906837512,6.86206731589374
"NT5DC1",6.24999391554637,6.24232070744217,5.88079756072358,6.37062011491255,5.78343183179872,6.11411984329316,5.02406166373789,5.13714144493382,5.35157451389835,6.30129843482642,6.30414906182732,6.64243032395048
"BEND6",4.09405407377939,4.75726038553309,4.36888894638863,5.61992064651056,5.22175269889209,5.29704131541125,3.73638207421964,3.76756382274205,3.63564176622008,5.72112330724071,6.02870888760913,5.75211577818838
"ATF5",6.20757410971749,6.12900438967525,5.95636488319191,7.4359337086585,7.41040323776682,7.45350299933803,3.94814380565797,4.2753843286306,4.5475509435544,8.02322520300359,7.75868240252125,7.76227508463474
"ZNF652",5.16685836668348,5.05741135202084,5.44736097346323,7.37486295352226,6.63204730848061,6.81192775849069,5.13988483045018,4.75847764155642,4.96228775782079,8.00272807387941,8.06612083786815,7.93409950141099
"PPM1E",7.5953959433608,7.63224639228352,7.47399785215239,8.28180465456002,8.21831105339661,8.44451414441758,6.87061208358608,6.81536591676568,6.85277912004044,8.51987725008205,8.74085246923678,8.83590089817081
"NLRP1",5.68960657801555,5.79808735044081,5.62564570159665,4.47540481836108,4.90689625307072,4.49831271272592,6.65497541672613,6.57916538117242,6.92125187369258,4.69339611725416,4.93164123793769,4.96138684077245
"FOXJ3",6.08601689044337,6.03066689281152,6.18259019168748,6.61729469797531,6.2278503744359,6.4845583067385,5.25611068539061,5.44059309552813,4.50320690162159,6.4644036303073,6.31797253903804,6.61281022567742
"ARSG",6.59886375829548,6.37588801936596,6.39517797584206,6.91725717144052,6.96369056053806,6.84275170177776,5.35038557849836,5.15019681806977,5.44223081184928,6.90241878821233,6.93495351101521,6.93510450819068
"RUFY3",6.83967272019789,6.81613521001123,6.85451008354314,6.97836402062287,6.67183561535263,6.90892200337591,5.7676006982784,5.14971121844792,5.86728798713081,7.25701989661042,7.30955322035874,6.96732702941246
"SPEN",8.05002599139692,7.99682892406535,7.88846748050322,9.73705429862206,8.47815300273606,8.69614407329573,6.55914027274271,6.90114302428474,7.44649794522078,9.67260752040903,9.52099524963863,9.71247196780887
"PALLD",7.16557334922513,7.24051818314243,7.02369344007405,9.2476728437002,9.15899940632765,9.19773107660773,6.14901864402683,6.30598840648366,6.28142635676932,9.31446810217986,9.38141369781249,9.36803929445096
"ENDOD1",3.90457989703553,3.6572778711725,3.42485222960183,5.36108148924861,5.72406196687548,5.47627857309988,4.0606440465984,4.56351570097708,4.73606777472756,5.4507406383244,5.06637707866842,5.22786446432655
"KDM4C",7.21030970900262,7.1751057219973,7.03058925609359,3.59411200563263,3.18966882305588,3.67072818693701,6.19337194183753,5.95380120147656,6.01951744481498,3.79181287431796,3.75503026483671,3.97905290759558
"ATP11B",8.20603568477058,8.55278772394372,8.57717644414979,8.3735465049869,6.72999995474473,7.11251853323657,7.46109188870126,7.9254006625961,8.3831777152524,8.66889984805898,8.36351571828669,8.46805989090112
"SYNE2",7.96470098201343,7.9795120821882,8.09766367857488,7.75487224297834,6.67628505006794,6.67051428462999,7.16861548661856,7.63276183947749,8.01293470754972,7.60127440790612,7.42485890095212,7.95827812343255
"FKBP15",5.46951784344508,5.57016002262047,5.73050019311939,6.10702815045748,4.7488613312172,5.33490922347792,4.5720725184991,4.65101761711265,4.60273823561762,5.99011296504468,6.0956381765735,6.26886352824408
"DNAJC13",5.45518375057163,5.58865052617375,5.38218500212041,5.65152025118085,4.54912899258204,4.59635667184948,4.56034511552165,3.82847623078213,4.74365625362869,5.95640271616115,6.15459611421221,6.10042036445616
"CLASP1",5.71052271981616,5.50852942971247,5.43772395251766,3.89666130382318,3.65243378517698,3.65912772390814,4.54807522298202,4.74426710960901,5.08587223158146,4.71349199479276,4.76647951765663,4.80390791368079
"MED13L",8.19475077864979,7.18172537496666,7.35827631253593,8.42796408415231,6.8770998378373,7.08607697197184,6.87529135827497,6.80354050676915,6.81639828286937,8.79090720804161,8.8640954978119,8.2012628688821
"DICER1",7.31999715339114,7.37027467910037,7.20338571627627,8.66767463413053,7.9343945769118,8.09354189387305,6.43572994585065,6.43170785188756,6.16923695976349,8.61427201114992,8.8170249509134,8.58234378962671
"CBX5",9.31817077841719,9.41511356122934,9.50775478484348,9.23877756277353,7.97422175335544,8.27323451678278,8.60213139179382,8.66599292179443,8.79078888646303,9.64444262286223,9.49012329049627,9.41009942443324
"SRRM2",6.15284725365737,6.11380635888465,6.07509030321309,6.99621666080546,5.72714167203838,6.03787934057654,5.31918212277709,5.61923518299248,5.69840585946018,7.04958996881105,6.8789045459206,6.85862040729215
"SSBP2",5.75449939649372,6.04824278701436,5.97471253110038,6.92753025437392,7.02738445818027,7.15785709081866,5.04942560963417,5.32042801666061,5.50605987979497,7.49734700343721,7.4848544480983,7.65787333293905
"SLC7A11",8.72890415499591,8.64553612296413,8.51963433528442,7.46677039941367,7.37580769016855,7.44173215409877,5.99454292985258,5.65550104479831,5.32163454621732,8.49929126238012,8.59560338701,8.59974805442454
"TMEFF2",6.9900075918965,6.97717011573977,7.42761737646499,6.74982958936065,7.9437287170526,6.48997880524428,8.04470661516661,8.40251140945462,8.70297583373884,6.78153182406551,6.86034192258847,6.60341017839746
"CUTALP",7.77945540173794,7.92208107025633,7.76115937612483,7.82656774892286,7.11812488689302,7.55536627753742,6.74996577899535,6.47148539790736,6.94587000474476,8.11566443962352,8.1869240503694,8.13992012684779
"RICTOR",6.72698193513653,6.7008570124138,6.63965954398227,7.83890551158923,7.65983855702692,7.91895841643733,6.1194852326804,6.02483027978228,6.16923695976349,8.33161252130687,8.16710986476429,8.17819268015155
"UBN2",4.79834550072448,5.09626928665797,5.12567375935173,6.43703254046069,5.13700270484892,5.04831167445913,4.35908309700653,4.32908754458098,4.36368661018139,7.13736038373455,6.90546291427469,6.45318854012653
